Time	X	Y	WeightA	WeightB	Acc1X	Acc1Y	Acc1Z	Gyro1X	Gyro1Y	Gyro1Z	Mag1X	Mag1Y	Mag1Z	Yaw1	Pitch1	Roll1	Acc2X	Acc2Y	Acc2Z	Gyro2X	Gyro2Y	Gyro2Z	Mag2X	Mag2Y	Mag2Z	Yaw2	Pitch2	Roll2	
345	-20,98	10,92	0,2	0,0																									
350	1,24	9,47	-0,3	-0,3																									
355	-3,08	4,77	-0,4	-0,3																									
360	-3,63	-1,22	0,2	0,3																									
365	-6,26	6,52	0,3	0,3																									
370	-16,05	2,18	0,3	0,2																									
375	14,80	197,83	-0,2	-0,2																									
380	2,60	2,51	0,2	0,3																									
385	-11,27	3,68	0,3	0,3																									
390	-7,83	0,60	-0,9	-0,4																									
395	13,94	8,08	0,0	-0,7																									
400	8,69	-2,26	-0,1	-0,3																									
405	-4,59	-25,89	-0,3	-0,1																									
410	-0,66	-2,00	0,2	0,3																									
415	87,82	11,09	0,2	-0,3																									
420	25,68	-50,64	0,0	-0,2																									
425	-19,64	-0,47	-0,7	0,1																									
430	1,10	-8,21	-0,2	0,0																									
435	-21,83	21,42	-0,1	0,2																									
440	-15,11	7,39	0,2	0,1																									
445	2,69	9,50	-0,5	-0,6																									
450	-0,86	8,11	0,1	0,2																									
455	28,07	0,20	0,0	-0,5																									
460	6,59	1,41	-0,3	-0,3																									
465	-3,78	4,09	0,2	0,2																									
470	-8,77	5,32	0,2	0,2																									
475	-3,56	2,35	0,2	0,3																									
480	3,73	2,42	0,2	0,3																									
485	-4,54	-8,35	-0,4	0,0																									
490	-9,24	2,79	0,3	0,2																									
495	-6,71	5,06	0,3	0,2																									
500	-1,83	8,86	-1,4	-0,7																									
505	10,75	8,12	-0,2	-0,3																									
510	0,52	7,94	-0,5	-0,4																									
515	-10,70	7,47	0,2	0,2																									
520	-6,70	5,37	0,2	0,2																									
525	49,06	12,58	-0,1	0,2																									
530	9,62	0,22	-0,1	-0,2																									
535	-13,51	3,43	0,3	0,2																									
540	-6,35	0,74	0,2	0,3																									
545	-0,88	-10,56	-0,6	0,0																									
550	-4,14	4,35	0,2	0,1																									
555	16,35	113,45	0,0	-0,2																									
560	-7,27	0,81	0,2	0,2																									
565	21,74	9,40	0,0	-0,7																									
570	46,71	-18,27	0,0	-0,1																									
575	104,42	-65,37	-0,1	0,0																									
580	14,60	-47,21	-0,1	0,0																									
585	-0,66	2,27	0,2	0,3																									
590	-12,07	2,72	0,3	0,2																									
595	0,70	1,38	-0,7	-0,7																									
600	-10,50	3,60	0,2	0,2																									
605	-18,03	4,86	-0,7	-0,1																									
610	-8,43	-12,72	-1,1	-0,2																									
615	-6,64	-7,95	-1,2	-0,3																									
620	-5,00	3,06	-1,3	-1,0																									
625	-2,30	2,58	-1,5	-1,1																									
630	-10,88	8,52	0,2	0,2																									
635	-9,81	14,06	0,2	0,1																									
640	8,18	-1,22	-0,5	-1,1																									
645	-17,88	6,61	0,3	0,1																									
650	-7,05	4,72	0,2	0,3																									
655	-3,75	2,34	-1,3	-1,0																									
660	18,88	10,84	0,0	0,3																									
665	-9,73	4,97	0,2	0,2																									
670	74,86	6,93	0,2	-0,3																									
675	-9,22	3,65	0,2	0,3																									
680	-8,98	3,26	0,3	0,3																									
685	-8,14	-0,32	-1,2	-0,4																									
690	4,82	12,91	-0,8	-0,8																									
695	24,44	-8,20	-0,2	-0,2																									
700	-1,71	13,17	-0,8	-0,4																									
705	1,10	13,42	-0,8	-0,6																									
710	-6,71	5,06	0,3	0,2																									
715	-285,05	-16,99	0,3	-0,2																									
720	25,58	-11,15	0,1	-0,3																									
725	-0,23	2,45	-0,6	-0,6																									
730	0,79	3,90	-0,7	-0,6																									
735	-7,48	6,56	0,2	0,3																									
740	-4,11	2,10	0,2	0,2																									
745	-5,97	1,61	0,3	0,3																									
750	28,68	9,08	0,0	-0,4																									
755	7,89	6,32	-0,3	-0,4																									
760	-6,58	2,58	0,2	0,3																									
765	-4,11	2,10	0,2	0,2																									
770	91,58	107,68	0,2	-0,2																									
775	-22,84	-38,70	0,2	0,0																									
780	-2,67	2,33	-0,5	-0,4																									
785	-4,10	6,74	0,2	0,2																									
790	-5,41	1,78	0,3	0,4																									
795	-8,29	0,83	0,2	0,2																									
800	-7,51	5,56	0,2	0,2																									
805	4,63	0,11	-0,7	-1,1																									
810	0,07	4,03	0,2	0,3																									
815	-13,18	3,60	0,4	0,2																									
820	-35,91	3,11	-0,7	0,2																									
825	0,10	2,80	0,1	0,2																									
830	-6,36	3,48	0,3	0,3																									
835	-8,57	4,37	0,3	0,3																									
840	-8,23	2,93	0,3	0,3																									
845	-7,28	3,91	0,2	0,2																									
850	-12,42	9,66	0,2	0,2																									
855	-6,85	26,88	0,2	0,1																									
860	-9,75	1,41	0,3	0,2																									
865	0,77	2,34	-1,4	-1,7																									
870	-9,38	3,63	0,3	0,2																									
875	-6,93	1,64	0,4	0,4																									
880	-4,59	1,62	0,4	0,4																									
885	-6,70	1,97	0,4	0,3																									
890	-169,74	125,74	0,0	0,1																									
895	-10,30	3,64	0,2	0,2																									
900	-7,56	4,24	0,3	0,3																									
905	-10,32	-0,14	0,2	0,2																									
910	-7,09	6,81	0,3	0,2																									
915	-6,22	3,05	0,2	0,2																									
920	-7,19	4,34	0,2	0,3																									
925	-7,30	-0,11	0,2	0,2																									
930	-11,38	6,15	0,2	0,2																									
935	-18,27	1,36	0,2	0,1																									
940	-12,28	15,32	0,1	0,1																									
945	-11,71	6,13	0,1	0,1																									
950	-21,04	6,41	0,2	0,1																									
955	-15,51	9,97	0,1	0,1																									
960	-9,51	3,41	0,1	0,2																									
965	-10,79	11,42	0,1	0,1																									
970	-20,08	9,25	0,2	0,1																									
975	-13,80	5,91	0,2	0,1																									
980	-8,79	8,90	0,2	0,1																									
985	-7,41	4,96	0,2	0,2																									
990	-11,86	3,75	0,1	0,1																									
995	-13,42	6,55	0,2	0,1																									
1000	-16,69	7,15	0,2	0,1																									
1005	-8,79	8,90	0,2	0,1																									
1010	-13,80	5,91	0,2	0,1																									
1015	-14,39	3,38	0,2	0,2																									
1020	-11,74	9,93	0,1	0,1																									
1025	-15,11	7,39	0,2	0,1																									
1030	-15,70	8,77	0,2	0,2																									
1035	-27,38	8,12	0,1	0,1																									
1040	-11,07	2,86	0,2	0,1																									
1045	-22,76	10,66	0,1	0,1																									
1050	-16,68	8,57	0,2	0,1																									
1055	-20,09	4,82	0,2	0,1																									
1060	-24,45	7,62	0,2	0,1																									
1065	-25,25	12,81	0,1	0,1																									
1070	-13,87	16,64	0,1	0,1																									
1075	-12,40	6,73	0,2	0,2																									
1080	-23,18	4,22	0,2	0,1																									
1085	-16,49	2,62	0,2	0,2																									
1090	-8,76	1,58	0,1	0,2																									
1095	-8,77	5,32	0,2	0,2																									
1100	-17,72	5,51	0,1	0,1																									
1105	-7,82	2,77	0,4	0,5																									
1110	-10,19	-2,96	0,2	0,1																									
1115	-14,88	10,22	0,2	0,1																									
1120	-17,17	12,09	0,1	0,1																									
1125	-4,74	2,28	0,2	0,2																									
1130	-3,71	6,00	0,2	0,2																									
1135	-15,11	7,39	0,2	0,1																									
1140	-15,07	3,87	0,1	0,1																									
1145	-9,79	3,92	0,2	0,1																									
1150	-11,69	16,49	0,1	0,1																									
1155	-16,64	5,30	0,1	0,1																									
1160	-19,27	4,88	0,1	0,1																									
1165	-5,41	5,01	0,2	0,1																									
1170	-3,78	4,09	0,2	0,2																									
1175	-9,56	5,23	0,3	0,3																									
1180	-7,97	2,35	0,2	0,2																									
1185	-15,63	5,93	0,1	0,1																									
1190	-11,39	-0,95	0,2	0,2																									
1195	-6,70	2,19	0,2	0,3																									
1200	-1,62	-8,75	0,1	-0,3																									
1205	-6,84	10,40	0,2	0,3																									
1210	0,09	4,45	0,2	0,2																									
1215	-7,56	4,24	0,3	0,3																									
1220	1,11	0,61	-1,2	-1,1																									
1225	-17,88	-32,66	-0,1	-0,1																									
1230	-14,52	-9,43	-0,5	-0,1																									
1235	-8,19	3,35	-0,6	-0,5																									
1240	-3,38	1,35	-1,0	-0,5																									
1245	-229,65	-11,72	-0,3	0,2																									
1250	-13,16	-1,85	-0,8	0,1																									
1255	-106,65	-8,32	-0,3	0,2																									
1260	0,55	-4,89	-0,4	0,1																									
1265	40,81	40,78	0,1	-0,3																									
1270	109,04	136,28	0,2	-0,3																									
1275	-8,04	-4,38	-1,3	-0,2																									
1280	-30,51	19,54	0,2	0,0																									
1285	-12,28	1,47	0,3	0,1																									
1290	7,79	-0,48	-0,5	-0,7																									
1295	-12,07	2,72	0,3	0,2																									
1300	-24,50	-25,79	0,1	0,0																									
1305	-5,35	6,85	0,3	0,3																									
1310	28,07	-0,60	0,1	-0,7																									
1315	10,30	1,07	0,1	0,3																									
1320	70,81	-10,23	0,1	-0,3																									
1325	-9,24	2,79	0,3	0,2																									
1330	-0,67	2,49	0,2	0,3																									
1335	-10,68	4,56	0,2	0,2																									
1340	16,23	-10,61	0,0	-0,6																									
1345	-11,01	1,29	0,3	0,0																									
1350	-10,54	2,63	0,3	0,1																									
1355	-19,65	0,65	0,3	0,2																									
1360	-2,69	6,16	0,2	0,4																									
1365	-9,42	2,04	0,3	0,3																									
1370	-6,36	3,48	0,3	0,3																									
1375	-3,31	6,98	0,2	0,3																									
1380	-13,56	1,65	0,3	0,1																									
1385	-6,26	6,52	0,3	0,3																									
1390	-10,50	3,60	0,2	0,2																									
1395	-5,26	5,47	0,1	0,2																									
1400	-10,10	2,35	0,3	0,2																									
1405	-7,67	3,95	0,3	0,3																									
1410	-5,97	1,61	0,3	0,3																									
1415	-3,72	3,49	0,2	0,2																									
1420	-8,77	5,32	0,2	0,2																									
1425	-7,44	4,04	0,2	0,2																									
1430	17,55	-3,84	0,0	-0,7																									
1435	-6,26	6,52	0,3	0,3																									
1440	3,86	24,09	-0,2	-0,2																									
1445	6,40	9,10	0,1	0,2																									
1450	-8,15	3,73	0,2	0,2																									
1455	1,04	0,92	-0,4	-0,3																									
1460	-25,12	-1,94	-0,6	0,2																									
1465	-7,60	20,81	-0,1	0,2																									
1470	9,03	-6,75	-0,1	-0,3																									
1475	1,76	102,09	-1,0	-0,4																									
1480	19,13	21,82	-0,3	-0,5																									
1485	-3,66	4,20	-1,4	-0,9																									
1490	-33,09	6,29	-0,5	0,0																									
1495	-16,57	2,78	0,2	0,2																									
1500	5,76	6,40	-0,5	-0,7																									
1505	-2,89	-1,87	-0,3	-0,3																									
1510	-10,28	8,34	0,0	0,3																									
1515	2,59	2,14	-0,9	-1,0																									
1520	0,38	2,44	-1,1	-1,2																									
1525	-9,23	0,28	0,3	0,2																									
1530	-6,83	2,45	0,2	0,2																									
1535	-0,38	-19,90	-0,3	-0,2																									
1540	36,21	-20,41	-0,3	0,0																									
1545	8,73	15,71	-0,5	-0,3																									
1550	9,65	10,69	-0,2	-0,8																									
1555	-7,37	75,43	-0,6	-0,2																									
1560	-150,30	9,39	-0,3	0,2																									
1565	-4,19	2,72	0,2	0,2																									
1570	6,02	46,16	-0,4	-0,4																									
1575	541,07	-3062,60	0,1	-0,2																									
1580	-36,76	2,73	0,1	0,0																									
1585	-19,24	12,25	0,0	0,1																									
1590	-11,93	3,39	0,3	0,2																									
1595	-8,12	0,00	0,3	0,3																									
1600	2,36	-79,16	-0,7	-0,2																									
1605	6,17	-4,20	-0,4	-0,7																									
1610	105,05	-148,79	0,0	-0,1																									
1615	-18,69	4,88	0,4	0,1																									
1620	-9,55	2,44	0,2	0,2																									
1625	-8,90	2,36	0,3	0,3																									
1630	-9,12	-2,69	0,2	0,1																									
1635	2,21	8,04	-0,4	-0,5																									
1640	2,85	1,73	-0,6	-0,5																									
1645	-4,10	6,74	0,2	0,2																									
1650	-11,76	0,26	0,3	0,2																									
1655	-19,99	-9,82	-0,3	-0,1																									
1660	12,49	3,11	-0,5	-0,8																									
1665	8,31	1,83	-0,3	-0,3																									
1670	-10,52	6,35	0,3	0,2																									
1675	-9,88	5,87	0,2	0,3																									
1680	-28,68	15,76	-0,3	0,0																									
1685	-22,73	5,77	-0,7	-0,1																									
1690	-11,42	-2,56	-0,3	0,0																									
1695	9,67	-8,61	0,0	0,2																									
1700	-9,23	0,28	0,3	0,2																									
1705	-15,68	6,11	0,2	0,2																									
1710	-9,35	7,26	0,4	0,3																									
1715	16,04	-0,06	-0,2	-0,7																									
1720	-6,68	5,94	0,2	0,3																									
1725	-10,11	5,10	0,3	0,2																									
1730	-36,90	4,42	-0,6	0,1																									
1735	-7,21	0,32	0,2	0,2																									
1740	-13,53	4,85	0,3	0,2																									
1745	-3,60	3,19	0,3	0,3																									
1750	-13,26	4,48	0,2	0,2																									
1755	-6,68	5,94	0,2	0,3																									
1760	-10,50	3,60	0,2	0,2																									
1765	-9,74	-1,24	0,2	0,2																									
1770	-0,63	0,54	0,2	0,3																									
1775	-17,41	17,96	0,2	0,1																									
1780	-8,57	0,41	0,2	0,2																									
1785	-1,44	2,32	-1,2	-1,1																									
1790	-3,62	6,04	0,2	0,3																									
1795	-10,67	1,58	0,2	0,3																									
1800	-12,21	3,55	0,2	0,1																									
1805	-6,55	4,76	0,2	0,3																									
1810	-7,28	0,33	0,4	0,3																									
1815	-16,35	2,74	0,3	0,2																									
1820	-8,44	4,67	0,3	0,3																									
1825	-9,73	4,97	0,2	0,2																									
1830	-13,53	4,85	0,3	0,2																									
1835	-4,11	2,10	0,2	0,2																									
1840	-15,38	4,33	0,2	0,2																									
1845	-10,50	3,60	0,2	0,2																									
1850	-4,12	9,62	0,1	0,2																									
1855	-25,30	2,57	0,1	0,1																									
1860	-21,84	4,44	0,1	0,1																									
1865	-28,63	10,78	0,1	0,1																									
1870	-7,10	10,28	0,1	0,1																									
1875	-4,64	3,84	0,1	0,2																									
1880	-4,49	0,91	0,1	0,2																									
1885	-7,95	6,73	0,2	0,2																									
1890	-8,77	5,32	0,2	0,2																									
1895	-27,51	2,25	0,1	0,1																									
1900	-19,32	8,57	0,2	0,1																									
1905	-19,18	10,23	0,1	0,1																									
1910	-8,55	5,13	0,1	0,2																									
1915	-3,37	3,73	0,2	0,3																									
1920	-12,40	6,73	0,2	0,2																									
1925	-14,55	4,79	0,1	0,1																									
1930	-29,99	15,45	0,1	0,1																									
1935	-19,81	6,62	0,2	0,1																									
1940	-17,24	7,32	0,2	0,1																									
1945	-8,14	6,95	0,2	0,2																									
1950	-18,05	20,07	0,1	0,1																									
1955	-21,84	4,44	0,1	0,1																									
1960	-13,71	8,02	0,2	0,2																									
1965	-24,31	1,76	0,1	0,1																									
1970	-34,88	13,41	0,1	0,1																									
1975	-19,92	8,04	0,1	0,1																									
1980	-30,51	1,92	0,1	0,1																									
1985	-13,39	3,07	0,2	0,2																									
1990	-17,13	8,08	0,1	0,1																									
1995	-23,57	-1,95	0,1	0,1																									
2000	-14,66	-1,89	0,1	0,1																									
2005	-16,11	-4,83	0,1	0,1																									
2010	-19,82	-4,27	0,1	0,1																									
2015	-10,94	-4,84	0,2	0,2																									
2020	-34,12	2,18	0,1	0,1																									
2025	-13,80	-8,84	0,2	0,2																									
2030	-16,13	-13,66	0,1	0,1																									
2035	-27,41	-9,64	0,1	0,1																									
2040	-14,15	-12,58	0,2	0,2																									
2045	-16,63	-7,66	0,1	0,1																									
2050	-22,66	-6,94	0,1	0,2																									
2055	-25,89	-10,31	0,2	0,1																									
2060	-10,79	-9,11	0,1	0,1																									
2065	-15,36	-6,80	0,1	0,2																									
2070	-9,03	-10,68	0,1	0,2																									
2075	-20,06	-12,88	0,1	0,1																									
2080	-37,27	-12,54	0,1	0,1																									
2085	-19,80	-6,40	0,2	0,1																									
2090	-24,08	-11,43	0,1	0,1																									
2095	-26,16	-24,09	0,1	0,1																									
2100	-23,13	-15,51	0,1	0,1																									
2105	-21,26	-5,55	0,2	0,2																									
2110	-15,62	-1,89	0,1	0,2																									
2115	-12,78	-5,12	0,1	0,2																									
2120	-10,34	-3,78	0,3	0,2																									
2125	-13,89	-4,67	0,1	0,2																									
2130	-16,11	-4,63	0,2	0,2																									
2135	-15,89	1,52	0,2	0,2																									
2140	-18,62	-10,05	0,1	0,1																									
2145	-15,40	-7,70	0,1	0,1																									
2150	-11,25	4,90	0,1	0,2																									
2155	-15,62	-1,89	0,1	0,2																									
2160	-23,32	-7,29	0,1	0,1																									
2165	-12,81	-2,11	0,2	0,2																									
2170	-36,00	-1,28	0,0	0,1																									
2175	-26,48	-5,65	0,1	0,1																									
2180	-22,43	-16,82	0,1	0,1																									
2185	-16,11	-4,83	0,1	0,1																									
2190	-10,97	0,99	0,2	0,2																									
2195	-16,27	-0,97	0,1	0,1																									
2200	-31,46	-5,95	0,1	0,1																									
2205	-15,07	3,87	0,1	0,1																									
2210	-29,93	-3,63	0,1	0,1																									
2215	-21,18	-1,95	0,1	0,1																									
2220	-13,28	-0,49	0,2	0,2																									
2225	-33,92	-3,91	0,0	0,1																									
2230	-26,56	-3,03	0,1	0,1																									
2235	-10,83	-4,81	0,2	0,2																									
2240	-16,67	-3,29	0,1	0,1																									
2245	-48,70	-5,49	0,0	0,0																									
2250	-36,55	-2,16	0,0	0,1																									
2255	-15,46	-2,88	0,1	0,1																									
2260	-21,72	4,68	0,1	0,1																									
2265	-35,19	-9,19	0,1	0,1																									
2270	-21,10	2,52	0,1	0,2																									
2275	-18,53	2,73	0,1	0,1																									
2280	-23,57	-1,95	0,1	0,1																									
2285	-13,16	-1,47	0,2	0,1																									
2290	-4,29	-5,25	0,2	0,1																									
2295	-5,95	-1,29	0,1	0,1																									
2300	-20,95	3,60	0,1	0,1																									
2305	-68,73	5,87	0,0	0,0																									
2310	-14,70	1,52	0,2	0,1																									
2315	-8,94	-5,06	0,1	0,1																									
2320	-18,61	-2,47	0,1	0,1																									
2325	-18,27	1,36	0,2	0,1																									
2330	-14,66	-1,89	0,1	0,1																									
2335	-16,15	-1,09	0,1	0,1																									
2340	-23,63	0,39	0,2	0,1																									
2345	-23,57	-1,95	0,1	0,1																									
2350	-17,09	-2,24	0,1	0,1																									
2355	-36,42	11,15	0,0	0,1																									
2360	-23,27	2,71	0,1	0,1																									
2365	-19,18	10,23	0,1	0,1																									
2370	-25,30	2,57	0,1	0,1																									
2375	-17,75	8,70	0,1	0,1																									
2380	-20,18	-2,54	0,1	0,1																									
2385	-12,19	0,38	0,2	0,2																									
2390	-18,53	2,73	0,1	0,1																									
2395	-37,18	-3,00	0,1	0,1																									
2400	-23,27	2,71	0,1	0,1																									
2405	-27,51	2,25	0,1	0,1																									
2410	-4,51	-2,07	0,1	0,2																									
2415	-8,18	2,11	0,1	0,2																									
2420	-19,22	0,34	0,1	0,1																									
2425	-7,97	2,35	0,2	0,2																									
2430	-21,15	5,57	0,1	0,1																									
2435	-7,76	6,70	0,1	0,2																									
2440	-14,26	0,71	0,1	0,2																									
2445	-31,68	1,59	0,1	0,1																									
2450	-6,76	9,09	0,0	0,1																									
2455	-33,16	11,45	0,1	0,1																									
2460	-12,78	5,14	0,1	0,1																									
2465	-9,53	7,29	0,2	0,1																									
2470	-8,93	3,25	0,1	0,2																									
2475	-12,14	4,76	0,2	0,2																									
2480	-4,64	3,84	0,1	0,2																									
2485	-11,32	-0,02	0,2	0,1																									
2490	-4,52	2,17	0,1	0,1																									
2495	-15,81	2,73	0,1	0,1																									
2500	-52,03	11,25	0,1	0,0																									
2505	-29,52	7,70	0,1	0,0																									
2510	-21,73	7,87	0,1	0,1																									
2515	-13,44	8,16	0,2	0,2																									
2520	-4,11	5,71	0,1	0,2																									
2525	-21,73	7,87	0,1	0,1																									
2530	-7,95	6,73	0,2	0,2																									
2535	-10,68	4,56	0,2	0,2																									
2540	-13,83	12,13	0,1	0,1																									
2545	-16,18	2,07	0,2	0,1																									
2550	-22,54	13,86	0,0	0,1																									
2555	-16,12	14,80	0,1	0,1																									
2560	-12,71	2,42	0,2	0,1																									
2565	-8,89	8,09	0,2	0,3																									
2570	-14,64	4,81	0,2	0,2																									
2575	-6,72	1,52	0,2	0,2																									
2580	-6,33	6,63	0,2	0,2																									
2585	-3,78	4,09	0,2	0,2																									
2590	-10,50	3,60	0,2	0,2																									
2595	-8,84	1,35	0,3	0,2																									
2600	-7,78	2,25	0,2	0,2																									
2605	-5,88	4,50	0,3	0,3																									
2610	-10,33	4,86	0,2	0,2																									
2615	65,06	20,63	-0,1	0,2																									
2620	-7,22	3,41	0,3	0,2																									
2625	-6,70	5,37	0,2	0,2																									
2630	-7,20	0,01	0,4	0,3																									
2635	-21,95	-0,89	0,3	0,0																									
2640	-6,01	4,33	0,3	0,2																									
2645	-5,47	3,24	0,3	0,0																									
2650	-14,21	5,87	0,1	0,2																									
2655	-256,05	41,32	-0,2	0,2																									
2660	17,98	17,33	-0,2	-0,3																									
2665	-7,44	4,04	0,2	0,2																									
2670	-3,78	-73,12	0,1	-0,2																									
2675	-7,98	5,60	0,2	0,1																									
2680	-8,63	1,71	0,3	0,3																									
2685	-10,72	3,71	0,3	0,2																									
2690	-8,34	3,61	0,3	0,3																									
2695	-12,77	6,14	0,3	0,2																									
2700	-8,17	10,15	0,1	0,2																									
2705	-13,44	8,16	0,2	0,2																									
2710	-11,54	1,47	0,2	0,2																									
2715	-11,56	4,44	0,2	0,1																									
2720	-6,26	6,52	0,3	0,3																									
2725	-11,88	6,93	0,3	0,2																									
2730	-3,14	5,30	0,2	0,3																									
2735	-12,77	6,14	0,3	0,2																									
2740	-2,95	3,32	0,2	0,3																									
2745	-5,99	7,76	0,2	0,2																									
2750	5,68	-5,37	-0,3	-0,4																									
2755	-52,05	-7,27	-0,3	0,2																									
2760	-6,09	11,29	0,2	0,2																									
2765	2,02	-12,77	-0,7	-0,1																									
2770	18,45	-21,98	-0,4	-0,4																									
2775	-0,26	0,87	-0,6	-0,4																									
2780	-0,79	0,92	-0,7	-0,5																									
2785	-9,50	15,05	0,2	0,2																									
2790	-40,73	57,48	0,3	-0,2																									
2795	-6,19	14,93	0,2	0,2																									
2800	-1,76	1,47	-0,7	-0,6																									
2805	-0,45	-2,70	-0,7	-0,7																									
2810	-2,77	17,87	0,2	0,3																									
2815	-6,30	21,32	0,2	0,2																									
2820	1,79	-9,08	-0,4	-0,5																									
2825	5,63	-16,23	-0,3	-0,4																									
2830	-0,59	22,16	0,2	0,3																									
2835	0,12	35,26	0,1	0,2																									
2840	-2,52	-13,40	-0,4	-0,6																									
2845	16,81	-8,84	-0,3	-0,6																									
2850	57,47	-133,11	-0,1	0,0																									
2855	-1,32	-15,35	-0,3	-0,3																									
2860	-6,52	29,34	0,2	0,2																									
2865	-9,54	36,65	0,3	0,2																									
2870	-9,01	27,28	0,3	0,2																									
2875	0,68	-15,01	-0,3	-0,3																									
2880	-8,00	-19,13	-0,8	0,1																									
2885	-8,32	27,02	0,3	0,3																									
2890	6,61	-32,76	-0,4	-0,1																									
2895	23,57	-138,01	-0,2	0,1																									
2900	26,81	-39,96	0,0	-0,4																									
2905	-3,78	-31,95	-0,3	-0,3																									
2910	-5,20	29,69	0,2	0,3																									
2915	-2,53	30,86	0,2	0,3																									
2920	-3,40	42,17	0,2	0,2																									
2925	-7,75	38,34	0,3	0,1																									
2930	2,88	-15,83	-0,3	-0,4																									
2935	-22,62	-48,13	-0,4	0,1																									
2940	-5,65	32,74	0,3	0,2																									
2945	-1100,06	2063,57	0,0	0,0																									
2950	-14,92	62,82	0,1	0,2																									
2955	29,44	94,09	0,0	0,2																									
2960	0,48	-17,34	-0,4	-0,5																									
2965	8,59	45,85	0,1	0,3																									
2970	-10,91	27,57	0,3	0,2																									
2975	17,56	-17,73	-0,4	-0,2																									
2980	-15,13	-9,95	-0,3	-0,2																									
2985	-22,30	61,19	-0,3	-0,1																									
2990	-4,89	-43,66	-0,3	-0,1																									
2995	-3,28	36,22	0,2	0,3																									
3000	-2,81	36,99	0,2	0,2																									
3005	-5,96	34,05	0,2	0,2																									
3010	-3,60	49,32	0,2	0,1																									
3015	11,61	44,59	0,1	0,2																									
3020	0,08	34,45	0,2	0,3																									
3025	9,14	-1,97	-0,5	-0,8																									
3030	-2,54	26,35	0,3	0,3																									
3035	-2,57	32,14	0,2	0,3																									
3040	-2,71	35,04	0,2	0,3																									
3045	-2,66	30,38	0,2	0,2																									
3050	-2,62	32,54	0,2	0,2																									
3055	-5,54	31,86	0,3	0,2																									
3060	-2,72	33,91	0,3	0,2																									
3065	-6,03	34,35	0,2	0,2																									
3070	0,07	34,13	0,2	0,3																									
3075	-5,96	34,05	0,2	0,2																									
3080	0,08	31,89	0,2	0,3																									
